#  HII-CHI-mistry v.5.1 output file
# Input file:SDSSJ0228_input.dat
# Iterations for MonteCarlo: 25
# Used models: Double composite AGN, a(OX) = -1.2. No interpolation
# 
# ID   O2Hb eO2Hb  Ne3Hb  eNeHb O3aHb  eO3aHb O3nHb  eO3nHb N2Hb   eN2Hb  S2Hb   eS2Hb  i O/H     eO/H  N/O    eN/O  logU   elogU
152 0.000 0.000 0.000 0.000 0.000 0.000 0.149 2.992 0.027 1.164 0.148 3.170 2 8.44 0.29 -1.14 0.45 -1.39 0.29
153 0.000 0.000 0.000 0.000 0.000 0.000 0.149 2.992 0.027 1.164 0.148 3.170 2 8.31 0.34 -1.19 0.59 -1.39 0.25
154 0.000 0.000 0.000 0.000 0.000 0.000 0.149 2.992 0.027 1.164 0.148 3.170 2 8.34 0.34 -0.90 0.47 -1.50 0.25
155 0.000 0.000 0.000 0.000 0.000 0.000 0.149 2.992 0.027 1.164 0.148 3.170 2 8.48 0.27 -1.22 0.43 -1.47 0.32
156 0.000 0.000 0.000 0.000 0.000 0.000 0.149 2.992 0.027 1.164 0.148 3.170 2 8.27 0.35 -1.08 0.51 -1.47 0.34
157 0.000 0.000 0.000 0.000 0.000 0.000 0.149 2.992 0.027 1.164 0.148 3.170 2 8.37 0.28 -1.07 0.57 -1.39 0.28
158 0.000 0.000 0.000 0.000 0.000 0.000 0.149 2.992 0.027 1.164 0.148 3.170 2 8.38 0.31 -1.10 0.47 -1.36 0.24
159 0.000 0.000 0.000 0.000 0.000 0.000 0.149 2.992 0.027 1.164 0.148 3.170 2 8.35 0.29 -1.13 0.54 -1.31 0.32
160 0.000 0.000 0.000 0.000 0.000 0.000 0.149 2.992 0.027 1.164 0.148 3.170 2 8.33 0.32 -0.97 0.45 -1.46 0.35
161 0.000 0.000 0.000 0.000 0.000 0.000 0.149 2.992 0.027 1.164 0.148 3.170 2 8.30 0.35 -1.17 0.46 -1.54 0.34
162 0.000 0.000 0.000 0.000 0.000 0.000 0.035 0.986 0.013 0.373 0.024 1.249 2 8.03 0.35 -1.08 0.43 -1.41 0.32
163 0.000 0.000 0.000 0.000 0.000 0.000 0.035 0.986 0.013 0.373 0.024 1.249 2 8.04 0.37 -0.96 0.61 -1.48 0.34
164 0.000 0.000 0.000 0.000 0.000 0.000 0.035 0.986 0.013 0.373 0.014 1.170 2 8.02 0.37 -1.01 0.50 -1.55 0.35
165 0.000 0.000 0.000 0.000 0.000 0.000 0.035 0.986 0.013 0.373 0.014 1.170 2 8.06 0.36 -1.04 0.48 -1.38 0.35
166 0.000 0.000 0.000 0.000 0.000 0.000 0.035 0.986 0.013 0.373 0.014 1.170 2 8.03 0.38 -1.07 0.50 -1.43 0.38
